NÚM.,NÚMERO DE IDENTIFICACIÓN,CARÁCTER,NOMBRE,SIGLAS DEPENDENCIA O ENTIDAD,ESTATUS,FECHA JUNTA DE ACLARACIONES,FECHA DE PRESENTACIÓN Y APERTURA DE PROPOSICIONES,TIPO DE PUBLICACIÓN,TIPO DE CONTRATACIÓN,CÓDIGO DE EXPEDIENTE,UNIDAD COMPRADORA,ENTIDAD FEDERATIVA
1,AA-51-GYN-051GYN022-N-59-2023,NACIONAL,ADQUISICION DE MATERIALES VARIOS,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00104514,051GYN022 - DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS,TLAXCALA
2,AA-12-NCD-012NCD001-I-413-2023,INTERNACIONAL ABIERTO,REACTIVOS Y MATERIALES DE LABORATORIO PARA ATENCION A PROTOCOLOS,INER,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00105530,012NCD001 - DEPARTAMENTO DE ADQUISICIONES,CIUDAD DE MÉXICO
3,AA-48-E00-048E00995-N-238-2023,NACIONAL,"PRESTAR SUS SERVICIOS PROFESIONALES COMO PIANISTA ACOMPAÑANTE, DURANTE LOS ENSAY",INBAL,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00001929,048E00995 - DIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
4,AO-89-K08-830193996-N-3-2024,NACIONAL,TRABAJOS EXTRAORDINARIOS DE LA REHABILITACIÓN DEL PARQUE SUPERACIÓN CIUDADANA,089K08,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2024-00040990,830193996 - DIRECCIÓN DE OBRAS PÚBLICAS Y DESARROLLO URBANO,VERACRUZ
5,AA-32-412-032000001-N-128-2024,NACIONAL,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A SERVIDORES,TFJA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00035160,032000001 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
6,AA-15-412-015000999-N-787-2024,NACIONAL,PRESTADOR DE SERVICIOS,SEDATU,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00038966,015000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
7,AA-51-GYN-051GYN024-N-29-2024,NACIONAL,SERVICIOS MEDICOS SUBROGADOS DE ESPECIALIZACION,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00030489,051GYN024 - COORDINACION DE RECURSOS MATERIALES,SINALOA
8,AA-08-VSS-008VSS986-N-232-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00088230,008VSS986 - SUBGERENCIA DE U.O. SONORA ABASTO,SONORA
9,AA-08-VSS-008VSS008-N-679-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00088477,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
10,AA-08-VSS-008VSS998-N-926-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00090794,008VSS998 - DIRECCIÓN COMERCIAL,CIUDAD DE MÉXICO
11,AA-18-T0Q-018T0Q002-N-151-2024,NACIONAL,SERVICIO DE RADIOCOMUNICACIÓN Y LOCALIZACIÓN,ININ,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00089646,018T0Q002 - SERVICIOS GENERALES,MÉXICO
12,AA-48-VZG-048VZG999-N-152-2023,NACIONAL,TEZCATLIPOCA FLORES GOCHI,FONART,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00101967,048VZG999 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
13,AA-08-VSS-008VSS999-N-99-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00032549,008VSS999 - SUBGERENCIA DE LA UNIDAD OPERATIVA NUEVO LEÓN,NUEVO LEÓN
14,AA-11-B01-011B01001-N-1301-2024,NACIONAL,EDITOR    .,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00034505,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
15,AA-11-B01-011B01001-N-1551-2024,NACIONAL,SUPERVISOR DE CLOSED CAPTION A,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00035295,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
16,AA-16-B00-016B00026-N-8-2024,NACIONAL,ADQUISICIÓN DE ARTÍCULOS Y HERRAMIENTAS MENORES DE FERRETERÍA PARA EL OCB,CONAGUA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00034138,016B00026 - DIRECCION DE ADMINISTRACION,MORELOS
17,AA-12-NDF-012NDF999-N-125-2025,NACIONAL,"CONTRATO INRLGII/2025/232, REACTIVOS PARA EL LABORATORIO DE MICROBIOLOGÍA CLINIC",INR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00040216,012NDF999 - SUBDIRECCION DE COMPRAS Y SUMINISTROS,CIUDAD DE MÉXICO
